flatness574,1671.123,270.127,6.663
flatness575,1671.117,220.127,6.641
flatness576,1671.121,170.128,6.606
flatness577,1671.117,120.128,6.56
flatness578,1671.117,70.128,6.514
flatness579,1671.123,20.128,6.48
flatness580,1721.123,20.127,6.46
flatness581,1721.126,70.123,6.499
flatness582,1721.111,120.122,6.541
flatness583,1721.118,170.128,6.58
flatness584,1721.122,220.128,6.612
flatness585,1721.115,270.13,6.639
flatness586,1721.119,320.128,6.661
flatness587,1721.116,370.13,6.689
flatness588,1771.118,370.126,6.699
flatness589,1771.117,320.128,6.667
flatness590,1771.116,270.126,6.641
flatness591,1771.119,220.125,6.615
flatness592,1771.118,170.129,6.589
flatness593,1771.116,120.131,6.555
flatness594,1771.117,70.128,6.517
flatness595,1771.122,20.127,6.482
flatness596,1771.124,-29.866,6.455
flatness597,1771.123,-79.876,6.43
flatness598,1821.12,-79.869,6.398
flatness599,1821.126,-29.87,6.431
flatness600,1821.117,20.129,6.465
flatness601,1821.122,70.126,6.505
flatness602,1821.116,120.128,6.548
flatness603,1821.112,170.128,6.583
flatness604,1821.112,220.133,6.609
flatness605,1821.117,270.129,6.637
flatness606,1821.118,320.129,6.67
flatness607,1821.118,370.129,6.709
flatness608,1871.121,370.127,6.729
flatness609,1871.116,320.129,6.681
flatness610,1871.117,270.128,6.638
flatness611,1871.123,220.127,6.604
flatness612,1871.12,170.132,6.576
flatness613,1871.126,120.127,6.547
flatness614,1871.124,70.126,6.51
flatness615,1871.119,20.128,6.474
flatness616,1871.12,-29.868,6.442
flatness617,1921.125,20.126,6.489
flatness618,1921.121,70.13,6.522
flatness619,1921.117,120.128,6.55
flatness620,1921.112,170.129,6.575
flatness621,1921.118,220.128,6.607
flatness622,1921.118,270.128,6.653
flatness623,1921.114,320.129,6.7
flatness624,1971.117,320.128,6.737
flatness625,1971.127,270.126,6.691
flatness626,1971.117,220.133,6.648
flatness627,1971.116,170.125,6.608
flatness628,1971.118,120.127,6.579
flatness629,1971.116,70.128,6.553
flatness630,1971.11,20.125,6.529
flatness631,2021.124,170.127,6.642
flatness632,2021.123,220.128,6.679
flatness633,2021.12,270.126,6.717
